episode,coverage,steps,success,epsilon
193,0.980000,2500,0,0.680870
194,1.000000,1297,1,0.679508
195,0.990000,2500,0,0.678149
196,0.980000,2500,0,0.676793
197,1.000000,2450,1,0.675439
198,1.000000,2160,1,0.674088
199,0.990000,2500,0,0.672740
200,0.990000,2500,0,0.671394
201,1.000000,1260,1,0.670052
202,0.950000,2500,0,0.668712
203,1.000000,1688,1,0.667374
204,0.980000,2500,0,0.666039
205,0.990000,2500,0,0.664707
206,0.970000,2500,0,0.663378
207,1.000000,1486,1,0.662051
208,0.990000,2500,0,0.660727
209,0.970000,2500,0,0.659406
210,0.990000,2500,0,0.658087
211,1.000000,2071,1,0.656771
212,1.000000,1093,1,0.655457
213,1.000000,2033,1,0.654146
214,0.990000,2500,0,0.652838
215,1.000000,1453,1,0.651532
216,1.000000,1906,1,0.650229
217,0.990000,2500,0,0.648929
218,0.990000,2500,0,0.647631
219,1.000000,2342,1,0.646335
220,1.000000,2337,1,0.645043
221,0.990000,2500,0,0.643753
222,1.000000,1845,1,0.642465
223,0.960000,2500,0,0.641180
224,0.990000,2500,0,0.639898
225,0.990000,2500,0,0.638618
226,0.960000,2500,0,0.637341
227,0.910000,2500,0,0.636066
228,0.880000,2500,0,0.634794
229,1.000000,2196,1,0.633524
230,0.990000,2500,0,0.632257
231,1.000000,940,1,0.630993
232,0.970000,2500,0,0.629731
233,0.990000,2500,0,0.628471
234,0.910000,2500,0,0.627215
235,0.960000,2500,0,0.625960
236,0.960000,2500,0,0.624708
237,1.000000,1778,1,0.623459
238,0.940000,2500,0,0.622212
239,1.000000,1804,1,0.620967
240,0.900000,2500,0,0.619726
241,0.950000,2500,0,0.618486
242,0.900000,2500,0,0.617249
243,0.980000,2500,0,0.616015
244,1.000000,1850,1,0.614783
245,0.920000,2500,0,0.613553
246,0.990000,2500,0,0.612326
247,0.950000,2500,0,0.611101
248,0.960000,2500,0,0.609879
249,0.970000,2500,0,0.608659
250,1.000000,1602,1,0.607442
251,0.980000,2500,0,0.606227
252,0.990000,2500,0,0.605015
253,0.960000,2500,0,0.603805
254,1.000000,2363,1,0.602597
255,1.000000,1961,1,0.601392
256,0.980000,2500,0,0.600189
257,1.000000,1534,1,0.598989
258,0.980000,2500,0,0.597791
259,0.890000,2500,0,0.596595
260,0.980000,2500,0,0.595402
261,0.960000,2500,0,0.594211
262,0.920000,2500,0,0.593023
263,0.960000,2500,0,0.591837
264,0.970000,2500,0,0.590653
265,0.980000,2500,0,0.589472
266,0.980000,2500,0,0.588293
