episode,coverage,steps,success,epsilon
1,1.000000,791,1,1.000000
2,1.000000,603,1,0.998000
3,1.000000,1002,1,0.996004
4,1.000000,566,1,0.994012
5,1.000000,595,1,0.992024
6,1.000000,621,1,0.990040
7,1.000000,1300,1,0.988060
8,1.000000,702,1,0.986084
9,1.000000,606,1,0.984112
10,1.000000,449,1,0.982143
11,1.000000,625,1,0.980179
12,1.000000,556,1,0.978219
13,1.000000,864,1,0.976262
14,1.000000,1063,1,0.974310
15,1.000000,430,1,0.972361
16,1.000000,818,1,0.970416
17,1.000000,450,1,0.968476
18,1.000000,459,1,0.966539
19,1.000000,753,1,0.964606
20,1.000000,312,1,0.962676
21,1.000000,633,1,0.960751
22,1.000000,593,1,0.958829
23,1.000000,1069,1,0.956912
24,1.000000,667,1,0.954998
25,1.000000,675,1,0.953088
26,1.000000,322,1,0.951182
27,1.000000,1624,1,0.949279
28,1.000000,797,1,0.947381
29,1.000000,546,1,0.945486
30,1.000000,611,1,0.943595
31,1.000000,468,1,0.941708
32,1.000000,1214,1,0.939825
33,1.000000,645,1,0.937945
34,1.000000,574,1,0.936069
35,1.000000,505,1,0.934197
36,1.000000,650,1,0.932328
37,1.000000,680,1,0.930464
38,1.000000,419,1,0.928603
39,1.000000,382,1,0.926746
40,1.000000,740,1,0.924892
41,1.000000,751,1,0.923042
42,1.000000,568,1,0.921196
43,1.000000,912,1,0.919354
44,1.000000,805,1,0.917515
45,1.000000,665,1,0.915680
46,1.000000,968,1,0.913849
47,1.000000,766,1,0.912021
48,1.000000,565,1,0.910197
49,1.000000,1056,1,0.908377
50,1.000000,561,1,0.906560
51,1.000000,614,1,0.904747
52,1.000000,538,1,0.902937
53,1.000000,924,1,0.901131
54,1.000000,462,1,0.899329
55,1.000000,857,1,0.897531
56,1.000000,890,1,0.895735
57,1.000000,585,1,0.893944
58,1.000000,632,1,0.892156
59,1.000000,815,1,0.890372
60,1.000000,823,1,0.888591
61,1.000000,593,1,0.886814
62,1.000000,794,1,0.885040
63,1.000000,618,1,0.883270
64,1.000000,634,1,0.881504
65,1.000000,1070,1,0.879741
66,1.000000,861,1,0.877981
67,1.000000,637,1,0.876225
68,1.000000,1617,1,0.874473
69,1.000000,806,1,0.872724
70,1.000000,659,1,0.870978
71,1.000000,765,1,0.869236
72,1.000000,421,1,0.867498
73,1.000000,744,1,0.865763
74,1.000000,1323,1,0.864031
75,1.000000,582,1,0.862303
76,1.000000,848,1,0.860579
77,1.000000,570,1,0.858858
78,1.000000,692,1,0.857140
79,1.000000,643,1,0.855426
80,1.000000,363,1,0.853715
81,1.000000,546,1,0.852007
82,1.000000,545,1,0.850303
83,1.000000,788,1,0.848603
84,1.000000,683,1,0.846905
85,1.000000,944,1,0.845212
86,1.000000,640,1,0.843521
87,1.000000,1001,1,0.841834
88,1.000000,611,1,0.840151
89,1.000000,901,1,0.838470
90,1.000000,640,1,0.836793
91,1.000000,659,1,0.835120
92,1.000000,648,1,0.833449
93,1.000000,1411,1,0.831783
94,1.000000,723,1,0.830119
95,1.000000,703,1,0.828459
96,1.000000,829,1,0.826802
97,1.000000,480,1,0.825148
98,1.000000,401,1,0.823498
99,1.000000,684,1,0.821851
100,1.000000,723,1,0.820207
101,1.000000,962,1,0.818567
102,1.000000,566,1,0.816930
103,1.000000,487,1,0.815296
104,1.000000,671,1,0.813665
105,1.000000,515,1,0.812038
106,1.000000,1636,1,0.810414
107,1.000000,1165,1,0.808793
108,1.000000,1038,1,0.807175
109,1.000000,764,1,0.805561
110,1.000000,1730,1,0.803950
111,1.000000,2335,1,0.802342
112,1.000000,1294,1,0.800737
113,1.000000,1244,1,0.799136
114,1.000000,1270,1,0.797538
115,1.000000,914,1,0.795943
116,1.000000,679,1,0.794351
117,1.000000,1928,1,0.792762
118,1.000000,1506,1,0.791176
119,1.000000,1432,1,0.789594
120,1.000000,959,1,0.788015
121,1.000000,944,1,0.786439
122,1.000000,661,1,0.784866
123,1.000000,663,1,0.783296
124,1.000000,675,1,0.781730
125,1.000000,1334,1,0.780166
126,1.000000,713,1,0.778606
127,1.000000,1055,1,0.777049
128,1.000000,909,1,0.775495
